"Title","City","Library","Collection","Number","High Resolution","Digitization","Pinakes","Local catalog","Century","Subject theme","Subject name","Script","Bibliographic note 1","Bibliographic note 2","Bibliographic link"
"BAV Barb. gr. 1","Vatican","BAV","Barb. gr.","1","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.1","http://pinakes.irht.cnrs.fr/notices/cote/id/64549","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.1_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","17th","Astronomy","Ptolemy","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 100","Vatican","BAV","Barb. gr.","100","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.100","http://pinakes.irht.cnrs.fr/notices/cote/id/64648","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.100_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th|16th","History","Flavius Josephus","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 103","Vatican","BAV","Barb. gr.","103","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.103","http://pinakes.irht.cnrs.fr/notices/cote/id/64651","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.103_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","14th","Letters","Libanius","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 106","Vatican","BAV","Barb. gr.","106","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.106","http://pinakes.irht.cnrs.fr/notices/cote/id/64654","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.106_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","Philosophy","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 107","Vatican","BAV","Barb. gr.","107","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.107","http://pinakes.irht.cnrs.fr/notices/cote/id/64655","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.107_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","17th","Geography","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 108","Vatican","BAV","Barb. gr.","108","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.108","http://pinakes.irht.cnrs.fr/notices/cote/id/64656","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.108_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th|16th","Grammar","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 111","Vatican","BAV","Barb. gr.","111","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.111","http://pinakes.irht.cnrs.fr/notices/cote/id/64659","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.111_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","16th","History","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 117","Vatican","BAV","Barb. gr.","117","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.117","http://pinakes.irht.cnrs.fr/notices/cote/id/64665","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.117_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","16th|17th","Theology","Gregory Palamas","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 118","Vatican","BAV","Barb. gr.","118","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.118","http://pinakes.irht.cnrs.fr/notices/cote/id/64666","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.118_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","16th","Medicine","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 119","Vatican","BAV","Barb. gr.","119","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.119","http://pinakes.irht.cnrs.fr/notices/cote/id/64667","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.119_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","","Manuel Moschopoulus|Homer","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
